source_id,total_length_km
114N05359,1.9797200000000001
114N05360,1.03653
114N05361,3.7800300000000004
114N05362,9.9573
114N05363,2.09783
114N05364,0.39904
114N05365,0.37234
114N05366,0.82921
114N05367,0.7936
114N05368,0.82358
114N05369,1.59103
114N05370,0.81024
114N05371,0.66574
114N05372,2.22545
114N05373,0.8648100000000001
114N05374,0.29277
114N05375,0.21894
114N05376,1.2292299999999998
114N05377,0.02667
114N05378,0.10025
114N05379,1.9867700000000001
114N05380,5.28536
114N05381,4.15895
114N05382,6.73367
114N05383,2.56338
114N05384,3.4721800000000003
114N05385,1.8989099999999999
114N05386,2.19254
114N05387,1.7987799999999998
114N05388,0.9899399999999999
114N05389,4.85314
114N05390,0.31078
114N05587,13.280479999999999
114N05588,15.59136
114N05589,12.81382
114N05590,0.25325
114N05591,11.172080000000001
114N05592,8.38383
114N05593,10.78512
114N05594,7.46687
114N05595,13.965679999999999
114N05596,5.2546
114N05597,3.1382
114N05598,0.81072
114N05599,0.8702200000000001
114N05600,6.672000000000001
114N05601,1.07134
114N05602,18.9897
114N05603,12.55298
114N05604,12.85697
114N05605,12.79807
114N05606,1.42015
